"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-20","36","22",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-21","42","11",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-22","64","23","34"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-23","69","34","36"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-24","53","24","25"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-25","44","22","24"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-26","56","24","30"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-27","48","29",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-28","49","32",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-29","65","30",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-30","72","39","44"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-03-31","84","42","46"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-01","59","37","37"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-02","65","31","31"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-03","50","31",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-04","60","28",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-05","66","33","34"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-06","74","34","40"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-07","49","28","29"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-08","50","28","28"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-09","69","28","34"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-10","73","34",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-11","61","32",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-12","79","35","52"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-13","79","52","56"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-14","71","34","38"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-15","75","37","43"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-16","70","40","41"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-17","59","41",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-18","57","43",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-19","73","36","43"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-20","76","41","45"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-21","62","42","45"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-22","66","45","45"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-23","62","36","36"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-24","48","33",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-25","58","37",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-26","63","30","32"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-27","62","32","35"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-28","74","35","52"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-29","82","33","33"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-04-30","50","29","32"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-01","54","29",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-02","59","31",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-03","53","33","43"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-04","69","43","60"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-05","79","38","41"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-06","66","37","41"
